Jiang Zhujiu,1962,Chinese,"jujo on KGS and IGS, currently plays in Korea",130,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,1,2,6,1,12,5,7,7,11,3,,1,,1,3,10,2,1,6,5,9,12,7,5,6,1,,1,
Kada Katsuji,1931,Japanese,"Nihon Ki-in, died 1996",58,,,2,1,1,2,2,1,5,3,,1,5,3,,,,2,1,3,4,6,2,,,,1,5,,,3,4,,,,1,,,,,,,,,,,,,,,,,,,,
Kajiwara Takeo,1923,Japanese,"Nihon Ki-in, He is responsible for discovering many new joseki!",86,1,4,1,1,4,1,2,3,4,5,4,3,3,1,,,3,6,3,4,,,6,8,4,2,,1,2,6,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,
Kang Hun,1957,Korean,9d in 1996,136,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,1,,5,11,10,18,11,7,12,5,9,7,11,4,4,2,2,1,2,2,4,3,,,,,,
Kang Tong-yun,1989,Korean,9d in 2008,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,3,6,10,13,14,21,39,14
Kataoka Satoshi,1958,Japanese,"9d in 1988, Nihon Ki-in",237,,,,,,,,,,,,,,,,,,,,,,,,1,,5,1,4,8,10,4,9,4,2,6,10,11,11,12,18,16,16,13,9,11,5,8,4,5,2,1,4,4,6,8,9
Kato Atsushi,1974,Japanese,"9d in 2011, Nihon Ki-in",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,4,,1,3,,2,,3,6,3,,2,5,5,5,9,3
Kato Masao,1947,Japanese,"His pupils include Okada Shinichiro, Omori Yasushi, Suzuki Isao, Nishida Terumi and Umezawa Yukari. His teachers include Kitani Minoru, died in 2004. Nihon Ki-in",629,,,,,,,,,,1,1,,,4,6,9,4,7,6,9,14,15,21,17,22,17,15,25,20,18,20,20,21,25,27,18,10,19,11,26,22,21,18,23,22,22,14,13,23,14,9,,,,,
Kikuchi Yasuro,1929,Japanese,"In 1975 he founded the Ryokusei Academy, a go school which has produced many professional players, including Yamashita Keigo",54,1,1,1,,,,1,1,2,,,1,1,,2,2,1,1,3,3,1,,1,3,2,1,2,1,2,,1,1,2,,,2,1,1,4,1,1,,1,1,2,,,,1,,,,1,,,
Kim Chi-seok,1989,Korean,"8d in 2012, also known as Kim Jiseok",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,2,6,9,17,11,20
Kim Chu-ho,1984,Korean,9d in 2010,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3,7,16,8,8,10,9,7
Kim Il-hwan,1956,Korean,9d in 1999,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,7,6,,1,3,,7,3,7,2,1,1,,1,2,4,4,,2,2,,2,2,
Kim In,1943,Korean,9d in 1983,222,,,,,,4,,4,6,,4,3,14,12,13,15,8,12,10,8,14,4,7,8,9,8,2,,1,,3,7,5,8,4,3,2,1,7,2,6,2,3,,1,,1,,,,,,1,,,
Kim Seong-ryong,1976,Korean,"9d in 2004, hemmy on KGS",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,9,4,4,3,5,2,2,3,3,8,17,5,6,4,1
Kim Seung-chun,1973,Korean,"Also known by Kim Seung-joon, became 9 Dan in 2005",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,3,6,3,5,6,11,13,10,8,6,14,12,4,18,14,8,
Kim Su-chang,1957,Korean,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,7,5,16,5,9,5,13,11,10,8,10,6,2,,2,4,4,1,2,,1,,2,
Kim Yeong-hwan,1970,Korean,"Also known by Kim Younghwan, Kim Yeonghwan, Kim Yong-hwan",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,1,1,4,7,5,4,1,1,6,5,2,,4,3,1,,
Kimu Sujun,1979,Korean,"8d in 2007, played with Nihon-Kiin in Japan",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,4,10,7,2,5,9,9,5,5,1
Kitani Minoru,1909,Japanese,"created several joseki and fuseki, Teacher of famous Japanese professionals including: Ishida Yoshio, Kato Masao, Takemiya Masaki ",133,2,,13,21,20,20,12,12,8,16,7,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiyonari Tetsuya,1961,Japanese,"Kansai Ki-in, 9d in 1986",62,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,6,1,,,,1,2,3,1,5,2,1,1,,1,,4,4,1,2,2,3,1,2,4,4,5
Ko Iso,1987,Japanese,"Nihon Ki-in, 8d in 2011",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,14,12,19,9
Ko Keun-t'ae,1988,Korean,8d in 2011,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,9,20,5,11,5
Kobayashi Izumi,1977,Japanese,daughter of Kobayashi Koichi and Kitani Reiko and the granddaughter of Kitani Minoru. Kobayashi is married to Cho U. Nihon Ki-in.,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,3,8,10,7,8,12,10,8,3,,2,4,
Kobayashi Koichi,1952,Japanese,"one of the few Go players to have won 1,200 professional games.",619,,,,,,,,,,,,,1,,,,2,,1,4,9,8,10,10,8,9,14,21,23,21,22,23,20,24,25,16,27,25,28,16,24,20,17,23,19,26,19,24,20,13,14,11,6,8,6,2
Kobayashi Satoru,1959,Japanese,Won 1000 pro games as of 2011,326,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,1,3,6,5,14,8,12,2,7,7,13,9,6,5,3,19,25,19,18,14,20,,6,8,8,19,19,16,15,14
Komatsu Hideki,1967,Japanese,"9d in 1995, Nihon Ki-in, Inaba Takahiro, Adachi Toshimasa, Komatsu Daiki are his pupils. ",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,5,8,12,6,4,14,15,11,5,4,2,2,,1,5,2,8,3,4,10,7,8,3
Kong Jie,1982,Chinese,9d in 2009,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,7,8,7,11,20,21,22,22,11,30,32,32,30
Kong Xiangming,1955,Chinese,"female, 8 dan in 1985. Resident in Japan during the 1990s. Former wife of Nie Weiping 9p and mother of Kou Reibun, Nihon Kiin 4p. ",55,,,,,,,,,,,,,,,,,,,,1,,2,2,2,6,5,3,1,4,6,,9,4,1,4,4,,,,,,,,,,,,,,,,1,,,,
Kono Rin,1981,Japanese,"9d in 2006, Nihon Ki-in, pupil of Kobayashi Koichi. ",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,8,6,11,8,7,12,15,19,31,14
Kubouchi Shuchi,1920,Japanese,"9d in 1960, Kansai Ki-in, retired 2009",56,5,2,6,,1,,4,3,1,,1,,1,,3,1,1,,,,1,3,8,10,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kudo Norio,1940,Japanese,Nihon Ki-in,164,,1,,2,,,,,1,3,2,2,,,4,1,1,3,,,1,5,10,12,14,11,5,2,,,,5,6,2,6,2,1,1,2,2,2,3,4,6,10,5,7,3,,2,,2,5,3,2,3
Li Kang,1987,Chinese,"5d in 2004, now 6d",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,3,1,5,2,,14,15,19,15
Li Zhe,1989,Chinese ,6d in 2007,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,4,4,18,22,28,14
Liang Weitang,1963,Chinese,9d pro,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,2,3,5,7,9,4,12,5,6,12,15,8,3,1,1,3,,,,,,,,
Liao Guiyong,1962,Chinese,9d in 1995,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,4,1,1,2,10,12,9,6,6,7,13,9,4,2,,8,,,,,,,,
Lin Zhihan,1980,Taiwanese,9d in 2009,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,5,10,16,22,24,5,2
Liu Jing,1975,Chinese,8d in 1998,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,9,5,4,14,12,12,17,11,3,17,21,8,6,10,5,7,4,7,5
Liu Shizhen,1977,Chinese ,6d in 2000,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,4,13,8,2,4,14,3,11,6,5,13,11,8,7
Liu Xiaoguang,1960,Chinese,,286,,,,,,,,,,,,,,,,,,,,,,,1,,,2,6,7,2,7,3,13,6,12,15,19,18,17,10,18,16,23,23,12,12,14,8,4,,3,4,2,4,3,1,1
Liu Xing,1984,Chinese,7d in 2005,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,17,2,16,5,9,17,22,31,20
Luo Xihe,1977,Chinese,9d in 2002,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,11,3,13,19,17,32,23,9,17,26,12,14,18,19,29,14,17,25
Ma Xiaochun,1964,Chinese,pro in 1985,485,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,8,7,11,6,21,14,13,8,13,20,24,23,15,19,36,25,24,21,19,18,18,15,12,17,17,19,14,14,8
Michael Redmond,1963,Japanese,"9d in 2000, the first and only Western Go Professional to ever reach 9-dan, studied with Nihon Ki-in, married to Xian-Xian Niu.",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,7,,1,,1,4,6,4,3,4,5,2,,4,5,8,4,2,1,3,7,2,3,5,4,,
Mimura Tomoyasu,1969,Japanese,"9d in 2000, Nihon Ki-in",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,6,3,6,2,6,4,3,5,2,3,7,1,5,10,9,20,9,7,7,6,1
Miyashita Shuyo,1913,Japanese,"9d in 1960, Nihon Ki-in, His pupils were Ishibashi Chinami, Hanawa Yasutoki, Tokimoto Hajime, Kanno Kiyonori, and Miyashita Suzue.",94,7,8,2,2,1,4,11,7,11,6,8,2,4,4,3,1,2,4,,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miyazawa Goro,1949,Japanese,"9d in 1992, Nihon Ki-in",87,,,,,,,,,,,,,1,,,1,1,,,,,,2,,4,,1,2,,2,,6,6,2,2,1,2,4,9,5,4,2,3,3,3,1,3,4,3,,3,1,1,2,,3
Mizokami Tomochika,1977,Japanese,"pupil of Kikuchi Yasuro, Nihon Ki-in",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,1,2,4,6,10,8,7,8,8,2,5,7,4
Mok Chin-seok,1980,Korean,"9d in 2005, mymy on KGS",218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,11,7,26,20,20,21,13,10,4,10,7,27,27,6
Nakano Hironari,1969,Japanese,"9d in 1997, Nihon Ki-in",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,2,,1,1,3,5,4,9,3,7,8,7,7,4,2,4,3,2,6,1
Nie Weiping,1952,Chinese,formerly married to Kong Xiangming 8 dan. Their son Ko Reibun,378,,,,,,,,,,,,,,,,,,,,2,4,3,6,7,6,10,7,6,7,7,6,12,6,8,11,18,19,21,20,18,22,19,7,10,7,5,14,10,7,14,16,19,9,6,6,3
Niu Yutian,1984,Chinese,7d in 2009,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,6,,3,5,1,12,10,21,12
O Meien,1961,Taiwanese,"called Wang Mingyuan, active in Japan, A pupil of Go Seigen",289,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,3,6,11,8,,6,4,3,1,,8,3,9,10,9,10,18,17,27,22,27,23,20,14,12,11
O Rissei,1958,Chinese,Nihon Ki-in,433,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,3,5,5,2,5,3,8,9,3,12,8,8,11,7,10,15,19,20,35,23,30,29,20,30,25,20,17,16,18,11
Ogata Masaki,1964,Japanese,"9d in 1993, Nihon Ki-in",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,5,8,5,6,3,10,1,3,1,,2,,,,1,1,4,8,5,5,7,5
Ogawa Tomoko,1951,Japanese,female 6d,52,,,,,,,,,,,,1,,,,,,,,,,,2,,4,1,1,2,,,1,1,3,4,5,4,1,1,1,4,2,1,2,1,2,1,1,3,2,1,,,,,,
